"Date","Close"
"01/04/10",10.58396
"01/05/10",10.57202
"01/06/10",10.57368
"01/07/10",10.60686
"01/08/10",10.61819
"01/11/10",10.66399
"01/12/10",10.62726
"01/13/10",10.68077
"01/14/10",10.71055
"01/15/10",10.60965
"01/19/10",10.72543
"01/20/10",10.60315
"01/21/10",10.38988
"01/22/10",10.17298
"01/25/10",10.19686
"01/26/10",10.19429
"01/27/10",10.23616
"01/28/10",10.12046
"01/29/10",10.06733
"02/01/10",10.18553
"02/02/10",10.29685
"02/03/10",10.27055
"02/04/10",10.00218
"02/05/10",10.01223
"02/08/10",9.90839
"02/09/10",10.05864
"02/10/10",10.03838
"02/11/10",10.14419
"02/12/10",10.09914
"02/16/10",10.26881
"02/17/10",10.30924
"02/18/10",10.3929
"02/19/10",10.40235
"02/22/10",10.38338
"02/23/10",10.28241
"02/24/10",10.37416
"02/25/10",10.32103
"02/26/10",10.32526
"03/01/10",10.40379
"03/02/10",10.40598
"03/03/10",10.39676
"03/04/10",10.44414
"03/05/10",10.5662
"03/08/10",10.55252
"03/09/10",10.56438
"03/10/10",10.56733
"03/11/10",10.61184
"03/12/10",10.62469
"03/15/10",10.64215
"03/16/10",10.68598
"03/17/10",10.73367
"03/18/10",10.77917
"03/19/10",10.74198
"03/22/10",10.78589
"03/23/10",10.88883
"03/24/10",10.83615
"03/25/10",10.84121
"03/26/10",10.85036
"03/29/10",10.89586
"03/30/10",10.90742
"03/31/10",10.85663
"04/01/10",10.92707
"04/05/10",10.97355
"04/06/10",10.96999
"04/07/10",10.89752
"04/08/10",10.92707
"04/09/10",10.99735
"04/12/10",11.00597
"04/13/10",11.01942
"04/14/10",11.12311
"04/15/10",11.14457
"04/16/10",11.01866
"04/19/10",11.09205
"04/20/10",11.11706
"04/21/10",11.12492
"04/22/10",11.13429
"04/23/10",11.20428
"04/26/10",11.20503
"04/27/10",10.99199
"04/28/10",11.04527
"04/29/10",11.16732
"04/30/10",11.00861
"05/03/10",11.15183
"05/04/10",10.92677
"05/05/10",10.86812
"05/06/10",10.52032
"05/07/10",10.38043
"05/10/10",10.78514
"05/11/10",10.74826
"05/12/10",10.89691
"05/13/10",10.78295
"05/14/10",10.62016
"05/17/10",10.62583
"05/18/10",10.51095
"05/19/10",10.44437
"05/20/10",10.06801
"05/21/10",10.19339
"05/24/10",10.06657
"05/25/10",10.04375
"05/26/10",9.97445
"05/27/10",10.25899
"05/28/10",10.13663
"06/01/10",10.02402
"06/02/10",10.24954
"06/03/10",10.25528
"06/04/10",9.93197
"06/07/10",9.81649
"06/08/10",9.93998
"06/09/10",9.89925
"06/10/10",10.17253
"06/11/10",10.21107
"06/14/10",10.19089
"06/15/10",10.40477
"06/16/10",10.40946
"06/17/10",10.43417
"06/18/10",10.45064
"06/21/10",10.44241
"06/22/10",10.29352
"06/23/10",10.29844
"06/24/10",10.1528
"06/25/10",10.14381
"06/28/10",10.13852
"06/29/10",9.8703
"06/30/10",9.77402
"07/01/10",9.73253
"07/02/10",9.68648
"07/06/10",9.74362
"07/07/10",10.01828
"07/08/10",10.13899
"07/09/10",10.19803
"07/12/10",10.21627
"07/13/10",10.36302
"07/14/10",10.36672
"07/15/10",10.35931
"07/16/10",10.0979
"07/19/10",10.15443
"07/20/10",10.22996
"07/21/10",10.12053
"07/22/10",10.3223
"07/23/10",10.42462
"07/26/10",10.52543
"07/27/10",10.53769
"07/28/10",10.49788
"07/29/10",10.46716
"07/30/10",10.46594
"08/02/10",10.67438
"08/03/10",10.63638
"08/04/10",10.68043
"08/05/10",10.67498
"08/06/10",10.65356
"08/09/10",10.69875
"08/10/10",10.64425
"08/11/10",10.37883
"08/12/10",10.31995
"08/13/10",10.30315
"08/16/10",10.30201
"08/17/10",10.40585
"08/18/10",10.41554
"08/19/10",10.27121
"08/20/10",10.21362
"08/23/10",10.17441
"08/24/10",10.04045
"08/25/10",10.06006
"08/26/10",9.98581
"08/27/10",10.15065
"08/30/10",10.00973
"08/31/10",10.01472
"09/01/10",10.26947
"09/02/10",10.3201
"09/03/10",10.44793
"09/07/10",10.34069
"09/08/10",10.38701
"09/09/10",10.41524
"09/10/10",10.46277
"09/13/10",10.54413
"09/14/10",10.52649
"09/15/10",10.57273
"09/16/10",10.59483
"09/17/10",10.60785
"09/20/10",10.75362
"09/21/10",10.76103
"09/22/10",10.73931
"09/23/10",10.66242
"09/24/10",10.86026
"09/27/10",10.81204
"09/28/10",10.85814
"09/29/10",10.83528
"09/30/10",10.78805
"10/01/10",10.82968
"10/04/10",10.75127
"10/05/10",10.94472
"10/06/10",10.96765
"10/07/10",10.94858
"10/08/10",11.00648
"10/11/10",11.01034
"10/12/10",11.0204
"10/13/10",11.09608
"10/14/10",11.09457
"10/15/10",11.06278
"10/18/10",11.14369
"10/19/10",10.97862
"10/20/10",11.10797
"10/21/10",11.14657
"10/22/10",11.13256
"10/25/10",11.16405
"10/26/10",11.16946
"10/27/10",11.12628
"10/28/10",11.11395
"10/29/10",11.11849
"11/01/10",11.12462
"11/02/10",11.18872
"11/03/10",11.21513
"11/04/10",11.43484
"11/05/10",11.44408
"11/08/10",11.40684
"11/09/10",11.34675
"11/10/10",11.35704
"11/11/10",11.2831
"11/12/10",11.19258
"11/15/10",11.20197
"11/16/10",11.0235
"11/17/10",11.00788
"11/18/10",11.18123
"11/19/10",11.20355
"11/22/10",11.17858
"11/23/10",11.03637
"11/24/10",11.18728
"11/26/10",11.092
"11/29/10",11.05249
"11/30/10",11.00602
"12/01/10",11.25578
"12/02/10",11.36241
"12/03/10",11.38209
"12/06/10",11.36219
"12/07/10",11.35916
"12/08/10",11.37248
"12/09/10",11.37006
"12/10/10",11.41032
"12/13/10",11.42856
"12/14/10",11.47654
"12/15/10",11.45747
"12/16/10",11.49925
"12/17/10",11.49191
"12/20/10",11.47813
"12/21/10",11.53316
"12/22/10",11.55949
"12/23/10",11.57349
"12/27/10",11.55503
"12/28/10",11.57554
"12/29/10",11.58538
"12/30/10",11.56971
"12/31/10",11.57751
"01/03/11",11.67075
"01/04/11",11.69118
"01/05/11",11.72289
"01/06/11",11.69731
"01/07/11",11.67476
"01/10/11",11.63745
"01/11/11",11.67188
"01/12/11",11.75544
"01/13/11",11.7319
"01/14/11",11.78738
"01/18/11",11.83793
"01/19/11",11.82529
"01/20/11",11.8228
"01/21/11",11.87184
"01/24/11",11.98052
"01/25/11",11.97719
"01/26/11",11.98544
"01/27/11",11.98983
"01/28/11",11.8237
"01/31/11",11.89193
"02/01/11",12.04016
"02/02/11",12.04197
"02/03/11",12.06226
"02/04/11",12.09215
"02/07/11",12.16163
"02/08/11",12.23315
"02/09/11",12.23989
"02/10/11",12.22929
"02/11/11",12.27326
"02/14/11",12.26819
"02/15/11",12.22664
"02/16/11",12.28817
"02/17/11",12.31814
"02/18/11",12.39125
"02/22/11",12.21279
"02/23/11",12.10578
"02/24/11",12.0685
"02/25/11",12.13045
"02/28/11",12.22634
"03/01/11",12.05802
"03/02/11",12.0668
"03/03/11",12.2582
"03/04/11",12.16988
"03/07/11",12.09003
"03/08/11",12.21438
"03/09/11",12.21309
"03/10/11",11.98461
"03/11/11",12.0444
"03/14/11",11.99316
"03/15/11",11.85542
"03/16/11",11.6133
"03/17/11",11.77459
"03/18/11",11.85852
"03/21/11",12.03653
"03/22/11",12.01863
"03/23/11",12.08602
"03/24/11",12.17056
"03/25/11",12.22059
"03/28/11",12.19788
"03/29/11",12.27901
"03/30/11",12.35061
"03/31/11",12.31973
"04/01/11",12.37672
"04/04/11",12.40003
"04/05/11",12.3939
"04/06/11",12.42675
"04/07/11",12.40949
"04/08/11",12.38005
"04/11/11",12.38111
"04/12/11",12.26358
"04/13/11",12.27099
"04/14/11",12.28515
"04/15/11",12.34183
"04/18/11",12.20159
"04/19/11",12.26675
"04/20/11",12.45354
"04/21/11",12.50599
"04/25/11",12.47988
"04/26/11",12.59537
"04/27/11",12.69096
"04/28/11",12.76331
"04/29/11",12.81054
"05/02/11",12.80736
"05/03/11",12.80751
"05/04/11",12.72358
"05/05/11",12.58417
"05/06/11",12.63874
"05/09/11",12.68468
"05/10/11",12.76036
"05/11/11",12.63003
"05/12/11",12.69592
"05/13/11",12.59575
"05/16/11",12.54837
"05/17/11",12.47958
"05/18/11",12.56018
"05/19/11",12.60532
"05/20/11",12.51204
"05/23/11",12.38126
"05/24/11",12.35621
"05/25/11",12.39466
"05/26/11",12.40276
"05/27/11",12.44158
"05/31/11",12.56979
"06/01/11",12.29014
"06/02/11",12.24855
"06/03/11",12.15126
"06/06/11",12.08996
"06/07/11",12.07081
"06/08/11",12.04894
"06/09/11",12.12436
"06/10/11",11.95191
"06/13/11",11.95297
"06/14/11",12.07611
"06/15/11",11.89727
"06/16/11",11.96152
"06/17/11",12.00436
"06/20/11",12.08038
"06/21/11",12.19001
"06/22/11",12.10967
"06/23/11",12.05
"06/24/11",11.93458
"06/27/11",12.04356
"06/28/11",12.18869
"06/29/11",12.26142
"06/30/11",12.41434
"07/01/11",12.58277
"07/05/11",12.56987
"07/06/11",12.62602
"07/07/11",12.71949
"07/08/11",12.6572
"07/11/11",12.50576
"07/12/11",12.44688
"07/13/11",12.49161
"07/14/11",12.43712
"07/15/11",12.47973
"07/18/11",12.38516
"07/19/11",12.58742
"07/20/11",12.57191
"07/21/11",12.72441
"07/22/11",12.68116
"07/25/11",12.5928
"07/26/11",12.5013
"07/27/11",12.30255
"07/28/11",12.24011
"07/29/11",12.14324
"08/01/11",12.13249
"08/02/11",11.86662
"08/03/11",11.89644
"08/04/11",11.38368
"08/05/11",11.44461
"08/08/11",10.80985
"08/09/11",11.23977
"08/10/11",10.71994
"08/11/11",11.14331
"08/12/11",11.26902
"08/15/11",11.4829
"08/16/11",11.40593
"08/17/11",11.41021
"08/18/11",10.99058
"08/19/11",10.81765
"08/22/11",10.85465
"08/23/11",11.17676
"08/24/11",11.32071
"08/25/11",11.14982
"08/26/11",11.28454
"08/29/11",11.53925
"08/30/11",11.55995
"08/31/11",11.61353
"09/01/11",11.49357
"09/02/11",11.24026
"09/06/11",11.1393
"09/07/11",11.41486
"09/08/11",11.29581
"09/09/11",10.99213
"09/12/11",11.06112
"09/13/11",11.10585
"09/14/11",11.24673
"09/15/11",11.43318
"09/16/11",11.50909
"09/19/11",11.40101
"09/20/11",11.40866
"09/21/11",11.12484
"09/22/11",10.73383
"09/23/11",10.77148
"09/26/11",11.04386
"09/27/11",11.19069
"09/28/11",11.0109
"09/29/11",11.15398
"09/30/11",10.91338
