"Date.Time","Year","Month","Day","Time","Temp"
"2003-01-05 00:00",2003,1,5,"00:00",-2.8
"2003-01-05 01:00",2003,1,5,"01:00",-3.2
"2003-01-05 02:00",2003,1,5,"02:00",-3.5
"2003-01-05 03:00",2003,1,5,"03:00",-3.8
"2003-01-05 04:00",2003,1,5,"04:00",-4.7
"2003-01-05 05:00",2003,1,5,"05:00",-4.4
"2003-01-05 06:00",2003,1,5,"06:00",-4.8
"2003-01-05 07:00",2003,1,5,"07:00",-4.7
"2003-01-05 08:00",2003,1,5,"08:00",-4.9
"2003-01-05 09:00",2003,1,5,"09:00",-4.5
"2003-01-05 10:00",2003,1,5,"10:00",-3.9
"2003-01-05 11:00",2003,1,5,"11:00",-3.6
"2003-01-05 12:00",2003,1,5,"12:00",-3.5
"2003-01-05 13:00",2003,1,5,"13:00",-3.2
"2003-01-05 14:00",2003,1,5,"14:00",-3
"2003-01-05 15:00",2003,1,5,"15:00",-2.8
"2003-01-05 16:00",2003,1,5,"16:00",-2.7
"2003-01-05 17:00",2003,1,5,"17:00",-2.5
"2003-01-05 18:00",2003,1,5,"18:00",-2.4
"2003-01-05 19:00",2003,1,5,"19:00",-2.8
"2003-01-05 20:00",2003,1,5,"20:00",-2.7
"2003-01-05 21:00",2003,1,5,"21:00",-3.2
"2003-01-05 22:00",2003,1,5,"22:00",-3.9
"2003-01-05 23:00",2003,1,5,"23:00",-3.6
"2003-01-06 00:00",2003,1,6,"00:00",-3.8
"2003-01-06 01:00",2003,1,6,"01:00",-3.5
"2003-01-06 02:00",2003,1,6,"02:00",-3.2
"2003-01-06 03:00",2003,1,6,"03:00",-3.4
"2003-01-06 04:00",2003,1,6,"04:00",-3.7
"2003-01-06 05:00",2003,1,6,"05:00",-3.9
"2003-01-06 06:00",2003,1,6,"06:00",-3.9
"2003-01-06 07:00",2003,1,6,"07:00",-3.4
"2003-01-06 08:00",2003,1,6,"08:00",-3.1
"2003-01-06 09:00",2003,1,6,"09:00",-2.8
"2003-01-06 10:00",2003,1,6,"10:00",-2.1
"2003-01-06 11:00",2003,1,6,"11:00",-1.9
"2003-01-06 12:00",2003,1,6,"12:00",-2.2
"2003-01-06 13:00",2003,1,6,"13:00",-2.6
"2003-01-06 14:00",2003,1,6,"14:00",-3.2
"2003-01-06 15:00",2003,1,6,"15:00",-4.8
"2003-01-06 16:00",2003,1,6,"16:00",-5.1
